id,description,chart_template_id/id,type_tax_use,name,type,amount,account_collected_id/id,account_paid_id/id,base_code_id/id,tax_code_id/id,ref_base_code_id/id,ref_tax_code_id/id,tax_sign,base_sign,ref_base_sign,ref_tax_sign,parent_id/id
base.tax_cooperate_wht_1,,hwf_account_chart,Purchase,Corporate WHT 3%,percent,0.03,2122,2122,,,,,1,1,-1,-1,
base.tax_personal_wat_1,,hwf_account_chart,Purchase,Personal WHT 3%,percent,0.03,2122,2122,,,,,1,1,-1,-1,
